#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-03-28 22:35:08.153
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 40 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.2 kHz
#Period: 833.3333333 us
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#1k ohm
#plot
Time (s),Channel 1 (V)
-0.002580165,-0.4290655434138811
-0.002579535,-0.4247528601475227
-0.002578905,-0.4211036666144466
-0.002578275,-0.4161274936147991
-0.002577645,-0.4138052795482984
-0.002577015,-0.4101560860152242
-0.002576385,-0.4065068924821518
-0.002575755,-0.402857698949076
-0.002575125,-0.3978815259494294
-0.002574495,-0.3952275670162858
-0.002573865,-0.3915783734832105
-0.002573235,-0.3875974350834911
-0.002572605,-0.3829530069504897
-0.002571975,-0.3796355582840587
-0.002571345,-0.3753228750176965
-0.002570715,-0.3713419366179811
-0.002570085,-0.367692743084907
-0.002569455,-0.3640435495518345
-0.002568825,-0.3593991214188294
-0.002568195,-0.3560816727523967
-0.002567565,-0.3524324792193242
-0.002566935,-0.3491150305528932
-0.002566305,-0.3444706024198882
-0.002565675,-0.3411531537534587
-0.002565045,-0.3361769807538121
-0.002564415,-0.3325277872207397
-0.002563785,-0.3282151039543776
-0.002563155,-0.3252294001545881
-0.002562525,-0.3215802066215155
-0.002561895,-0.3179310130884414
-0.002561265,-0.3129548400887929
-0.002560635,-0.3086421568224345
-0.002560005,-0.3049929632893604
-0.002559375,-0.3013437697562879
-0.002558745,-0.2980263210898552
-0.002558115,-0.2930501480902086
-0.002557485,-0.2894009545571345
-0.002556855,-0.2850882712907742
-0.002556225,-0.2814390777576981
-0.002555595,-0.2771263944913397
-0.002554965,-0.2738089458249087
-0.002554335,-0.2691645176919073
-0.002553705,-0.2651835792921879
-0.002553075,-0.2618661306257569
-0.002552445,-0.2572217024927534
-0.002551815,-0.2532407640930362
-0.002551185,-0.2485963359600311
-0.002550555,-0.2449471424269586
-0.002549925,-0.2409662040272414
-0.002549295,-0.2373170104941689
-0.002548665,-0.2343313066943793
-0.002548035,-0.2296868785613759
-0.002547405,-0.2253741952950175
-0.002546775,-0.2217250017619414
-0.002546145,-0.2177440633622223
-0.002545515,-0.2137631249625069
-0.002544885,-0.2094504416961465
-0.002544255,-0.2051377584297882
-0.002543625,-0.2028155443632845
-0.002542995,-0.198171116230281
-0.002542365,-0.1945219226972086
-0.002541735,-0.1898774945642034
-0.002541105,-0.1865600458977707
-0.002540475,-0.1829108523646983
-0.002539845,-0.178929913964981
-0.002539215,-0.1752807204319085
-0.002538585,-0.1703045474322603
-0.002537955,-0.1666553538991862
-0.002537325,-0.1630061603661137
-0.002536695,-0.159688711699681
-0.002536065,-0.155376028433319
-0.002535435,-0.1517268349002465
-0.002534805,-0.1474141516338862
-0.002534175,-0.1444284478340966
-0.002533545,-0.1407792543010241
-0.002532915,-0.1367983159013069
-0.002532285,-0.1328173775015914
-0.002531655,-0.1285046942352293
-0.002531025,-0.1251872455687966
-0.002530395,-0.1215380520357241
-0.002529765,-0.1168936239027206
-0.002529135,-0.1142396649695737
-0.002528505,-0.1095952368365724
-0.002527875,-0.1059460433034982
-0.002527245,-0.1019651049037828
-0.002526615,-0.09931114597063614
-0.002525985,-0.09533020757091891
-0.002525355,-0.09267624863777407
-0.002524725,-0.08803182050477062
-0.002524095,-0.08438262697169482
-0.002523465,-0.08073343343862234
-0.002522835,-0.07774772963883442
-0.002522205,-0.07476202583904784
-0.002521575,-0.07111283230597235
-0.002520945,-0.0671318939062551
-0.002520315,-0.06315095550653785
-0.002519685,-0.05983350684010681
-0.002519055,-0.05585256844038822
-0.002518425,-0.05286686464060164
-0.002517795,-0.0495494159741706
-0.002517165,-0.04689545704102697
-0.002516535,-0.04324626350795163
-0.002515905,-0.03893358024159128
-0.002515275,-0.03594787644180472
-0.002514645,-0.03263042777537233
-0.002514015,-0.02931297910893947
-0.002513385,-0.02533204070922404
-0.002512755,-0.02267808177607921
-0.002512125,-0.01936063310964968
-0.002511495,-0.01637492930986024
-0.002510865,-0.01338922551007231
-0.002510235,-0.01139875631021459
-0.002509605,-0.007417817910496445
-0.002508975,-0.003768624377420646
-0.002508345,-0.0001194308443481652
-0.002507715,0.00220278322215356
-0.002507085,0.005520231888583088
-0.002506455,0.008837680555015633
-0.002505825,0.01215512922144667
-0.002505195,0.01514083302123324
-0.002504565,0.01812653682102253
-0.002503935,0.02144398548745523
-0.002503305,0.02509317902052771
-0.002502675,0.02675190335374323
-0.002502045,0.02973760715353267
-0.002501415,0.0330550558199622
-0.002500785,0.03604075961975013
-0.002500155,0.03935820828617966
-0.002499525,0.04234391208596909
-0.002498895,0.04400263641918582
-0.002498265,0.04665659535232944
-0.002497635,0.04964229915211738
-0.002497005,0.05295974781854992
-0.002496375,0.05627719648497945
-0.002495745,0.05826766568483807
-0.002495115,0.0615851143512676
-0.002494485,0.06423907328441393
-0.002493855,0.06656128735091701
-0.002493225,0.06954699115070359
-0.002492595,0.0712057154839191
-0.002491965,0.07452316415035135
-0.002491335,0.07717712308349498
-0.002490705,0.0791675922833536
-0.002490075,0.08148980634985427
-0.002489445,0.08613423448285877
-0.002488815,0.08746121394943118
-0.002488185,0.08911993828264671
-0.002487555,0.09177389721579153
-0.002486925,0.09409611128229385
-0.002486295,0.09542309074886567
-0.002485665,0.0987405394152967
-0.002485035,0.1020579880817262
-0.002484405,0.1040484572815864
-0.002483775,0.106038926481445
-0.002483145,0.1080293956813036
-0.002482515,0.1110150994810915
-0.002481885,0.1130055686809508
-0.002481255,0.1143325481475226
-0.002480625,0.1166547622140243
-0.002479995,0.118645231413882
-0.002479365,0.1209674454803846
-0.002478735,0.1239531492801726
-0.002478105,0.1259436184800303
-0.002477475,0.1276023428132467
-0.002476845,0.130256301746392
-0.002476215,0.1312515363463209
-0.002475585,0.1335737504128226
-0.002474955,0.1352324747460374
-0.002474325,0.1385499234124691
-0.002473695,0.1395451580123984
-0.002473065,0.1408721374789703
-0.002472435,0.1428626066788295
-0.002471805,0.144853075878689
-0.002471175,0.1468435450785467
-0.002470545,0.1475070348118329
-0.002469915,0.1494975040116907
-0.002469285,0.1514879732115502
-0.002468655,0.1534784424114088
-0.002468025,0.1548054218779806
-0.002467395,0.1558006564779105
-0.002466765,0.1567958910778409
-0.002466135,0.1591181051443416
-0.002465505,0.160445084610914
-0.002464875,0.1634307884107028
-0.002464245,0.1654212576105605
-0.002463615,0.1667482370771329
-0.002462985,0.1677434716770618
-0.002462355,0.1680752165437054
-0.002461725,0.1690704511436353
-0.002461095,0.1703974306102071
-0.002460465,0.1727196446767088
-0.002459835,0.1753736036098536
-0.002459205,0.1753736036098536
-0.002458575,0.1767005830764261
-0.002457945,0.1767005830764261
-0.002457315,0.1783593074096416
-0.002456685,0.1803497766095002
-0.002456055,0.1823402458093588
-0.002455425,0.1820085009427157
-0.002454795,0.1843307150092176
-0.002454165,0.1846624598758606
-0.002453535,0.1863211842090761
-0.002452905,0.1856576944757902
-0.002452275,0.1873164188090054
-0.002451645,0.1906338674754364
-0.002451015,0.1909656123420795
-0.002450385,0.1919608469420088
-0.002449755,0.1916291020753662
-0.002449125,0.192624336675295
-0.002448495,0.1942830610085105
-0.002447865,0.1946148058751535
-0.002447235,0.1949465507417968
-0.002446605,0.1949465507417968
-0.002445975,0.1962735302083685
-0.002445345,0.1966052750750123
-0.002444715,0.1989274891415145
-0.002444085,0.1999227237414433
-0.002443455,0.2012497032080157
-0.002442825,0.2009179583413727
-0.002442195,0.2012497032080157
-0.002441565,0.202244937807945
-0.002440935,0.2012497032080162
-0.002440305,0.2015814480746588
-0.002439675,0.2029084275412314
-0.002439045,0.2032401724078743
-0.002438415,0.2039036621411605
-0.002437785,0.2052306416077324
-0.002437155,0.2062258762076623
-0.002436525,0.2058941313410192
-0.002435895,0.2065576210743051
-0.002435265,0.2068893659409485
-0.002434635,0.2072211108075917
-0.002434005,0.2075528556742347
-0.002433375,0.2072211108075916
-0.002432745,0.2075528556742353
-0.002432115,0.2088798351408071
-0.002431485,0.2088798351408071
-0.002430855,0.209543324874093
-0.002430225,0.2102068146073795
-0.002429595,0.2088798351408075
