#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-03-28 22:23:04.320
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 40 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.2 kHz
#Period: 833.3333333 us
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#50 ohm 
Time (s),Channel 1 (V)
-0.0024316425,0.1100198648811622
-0.0024310125,0.1103516097478052
-0.0024303825,0.1103516097478053
-0.0024297525,0.1103516097478055
-0.0024291225,0.1106833546144484
-0.0024284925,0.1103516097478053
-0.0024278625,0.1113468443477342
-0.0024272325,0.1103516097478053
-0.0024266025,0.1106833546144484
-0.0024259725,0.1103516097478055
-0.0024253425,0.1106833546144484
-0.0024247125,0.111346844347735
-0.0024240825,0.1120103340810208
-0.0024234525,0.1116785892143777
-0.0024228225,0.1106833546144483
-0.0024221925,0.1103516097478053
-0.0024215625,0.1120103340810208
-0.0024209325,0.1120103340810208
-0.0024203025,0.1116785892143777
-0.0024196725,0.1110150994810915
-0.0024190425,0.1116785892143777
-0.0024184125,0.1116785892143777
-0.0024177825,0.1106833546144489
-0.0024171525,0.1116785892143777
-0.0024165225,0.1110150994810915
-0.0024158925,0.1113468443477345
-0.0024152625,0.1106833546144484
-0.0024146325,0.1096881200145191
-0.0024140025,0.1113468443477346
-0.0024133725,0.1116785892143777
-0.0024127425,0.1103516097478053
-0.0024121125,0.1103516097478053
-0.0024114825,0.1103516097478053
-0.0024108525,0.1100198648811624
-0.0024102225,0.1113468443477346
-0.0024095925,0.1106833546144484
-0.0024089625,0.1103516097478055
-0.0024083325,0.1096881200145191
-0.0024077025,0.1086928854145906
-0.0024070725,0.1103516097478053
-0.0024064425,0.1090246302812329
-0.0024058125,0.1090246302812329
-0.0024051825,0.1090246302812329
-0.0024045525,0.109356375147876
-0.0024039225,0.1086928854145901
-0.0024032925,0.1073659059480174
-0.0024026625,0.1080293956813041
-0.0024020325,0.1090246302812329
-0.0024014025,0.1073659059480174
-0.0024007725,0.1063706713480885
-0.0024001425,0.1067024162147312
